Nederlands
aanhebben
aankomst
aansteken
aardbei
aarde
achterblijven
afblijven
afdrogen
afgaan
afkloppen
afpakken
afvallen
afvegen
afwassen
alledrie
alletwee
anders
appelmoes
armband
aspirine
autoweg
avondeten
badkamer
badpak
bakken
bakker
balk
ballon
band
bedankt
behangen
bekeuren
bekeuring
bekijken
beter
bezem
bezemsteel
biefstuk
bier
big
bikini
blik
bloeien
blouse
boekenkast
boekenrek
boerin
bok
boodschappenkar
boodschappentas
boon
borst
borstel
bos
bot
botsing
bovenin
branden
breekbaar
brievenbus
broekspijp
brommer
brug
buitenland
buren
bushalte
buurjongen
buurman
buurmeisje
buurvrouw
cake
cavia
cd
dvd
circustent
citroen
clownsneus
cola
daarvoor
deftig
dekbed
dennenappel
dennenboom
derde
dichtdoen
dichtmaken
dief
directeur
doen alsof
dokterstas
dom
douchen
draaimolen
draak
drankje
draven
drijven
droogmaken
druif
druppel
dwarrelen
dwerg
eekhoorn
een voor een
egel
eikel
elleboog
engel
erbij horen
erbij kunnen
eten maken
ezel
fee
feesthoed
fietspad
fietspomp
flat
flauw
fornuis
framboos
fruit
gans
geboren
gehakt
geluk hebben
gevaar
gevangenis
gezond
giechelen
gieten
gitaar
glad
glimmen
gloeiend
goedemiddag
goedemorgen
goedmaken
golf
gordel
graafmachine
grasveld
groente
grond (aarde)
grootmoeder
grootvader
grote mensen
gum
gym
gymnastiek
gymmen
gymspullen
haas
hagelslag
hals
hand(je) geven
heks
herder
herrie
het stormt
honger
hoofdpijn
hooi
huid
hulp
hulpje
huppelen
ijsbeer
ijzer
in ‘t echt
in de buurt
in je blootje
ineens
inpakken
instappen
jarige job
kaal
kaft
kalender
kalf
kapster
kassa
kastanje
kasteel
kater
kauwen
keelpijn
kelder
kers
kerstbal
kerstboom
kerstfeest
kerstklok
kerstliedje
kerstman
Kerstmis
ketting rijgen
kin
kinderboerderij
kiwi
klaar-over
kledingstuk
kletsen
kletsnat
kleuter
klimrek
klittenband
knikkeren
knuffel
koekenpan
kom
kooi
kopje duikelen
krat
kribbe
kroket
kruispunt
kruk
kurk
kwaken
kwijtraken
laken
lauw
legen
levend
licht
lichter
lichtst
lieveheersbeestje
lijf
links
lokaal
los
maat
macaroni
